round,scopeFamily,requiredFamily,profileId,profileLabel,controlRunId,experimentalRunId,controlElapsedMs,experimentalElapsedMs,addedWallClockMs,controlEligibleTimeoutCount,retryAttemptCount,retrySuccessCount,recoveredRawDocs,recoveredAcceptedAfterSourcePolicy,recoveredFinalContribution,slowdownWindowObserved,hasRetrySuccess,slateChanged,titlesAddedCount,titlesDroppedCount,titlesReorderedCount
12,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r12,cf-experimental-speculative_scifi-r12,1026,967,-59,0,0,0,0,0,0,false,false,false,0,0,0
13,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r13,cf-experimental-romance-r13,404,326,-78,0,0,0,0,0,0,false,false,false,0,0,0
13,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r13,cf-experimental-adventure_historical-r13,701,607,-94,0,0,0,0,0,0,false,false,false,0,0,0
13,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r13,cf-experimental-fantasy-r13,2868,1826,-1042,0,0,0,0,0,0,false,false,false,0,0,0
13,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r13,cf-experimental-mystery_thriller-r13,317,167,-150,0,0,0,0,0,0,false,false,false,0,0,0
13,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r13,cf-experimental-horror_paranormal-r13,1221,483,-738,0,0,0,0,0,0,false,false,false,0,0,0
13,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r13,cf-experimental-speculative_scifi-r13,978,541,-437,0,0,0,0,0,0,false,false,false,0,0,0
13,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r13,cf-experimental-contemporary-r13,1135,1428,293,0,0,0,0,0,0,false,false,false,0,0,0
14,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r14,cf-experimental-adventure_historical-r14,3193,1008,-2185,0,0,0,0,0,0,false,false,false,0,0,0
14,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r14,cf-experimental-fantasy-r14,2167,1327,-840,0,0,0,0,0,0,false,false,false,0,0,0
14,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r14,cf-experimental-mystery_thriller-r14,113,572,459,0,0,0,0,0,0,false,false,false,0,0,0
14,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r14,cf-experimental-horror_paranormal-r14,659,371,-288,0,0,0,0,0,0,false,false,false,0,0,0
14,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r14,cf-experimental-speculative_scifi-r14,1557,857,-700,0,0,0,0,0,0,false,false,false,0,0,0
14,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r14,cf-experimental-contemporary-r14,1368,537,-831,0,0,0,0,0,0,false,false,false,0,0,0
14,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r14,cf-experimental-romance-r14,586,495,-91,0,0,0,0,0,0,false,false,false,0,0,0
15,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r15,cf-experimental-fantasy-r15,2482,1134,-1348,0,0,0,0,0,0,false,false,false,0,0,0
15,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r15,cf-experimental-mystery_thriller-r15,138,161,23,0,0,0,0,0,0,false,false,false,0,0,0
15,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r15,cf-experimental-horror_paranormal-r15,509,312,-197,0,0,0,0,0,0,false,false,false,0,0,0
15,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r15,cf-experimental-speculative_scifi-r15,706,527,-179,0,0,0,0,0,0,false,false,false,0,0,0
15,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r15,cf-experimental-contemporary-r15,520,1865,1345,0,0,0,0,0,0,false,false,false,0,0,0
